"unitid","institution name","year","IC2020.Institution does not accept dual, credit for life, or AP credits","IC2020.Study abroad","IC2020.Academic/career counseling service","IC2020.Employment services for students","IC2020.Placement services for completers","DRVF2020.Instruction expenses as a percent of total core expenses (GASB)","DRVF2020.Research expenses as a percent of total core expenses (GASB)","DRVF2020.Student service expenses as a percent of total core expenses (GASB)","DRVF2020.Endowment assets (year end) per FTE enrollment (GASB)","DRVF2020.Equity ratio (GASB)","DRVHR2020.Total FTE staff","DRVHR2020.Instructional, research and public service FTE","DRVHR2020.Instructional FTE","DRVHR2020.Research FTE","DRVEF122020.Total 12-month unduplicated headcount"
"426314","Embry-Riddle Aeronautical University-Worldwide","2020","Implied no","Implied no","Yes","Yes","Yes",,,,,,"603","269","269","0","20829"
"427991","Osceola Technical College","2020","Implied no","Implied no","Yes","Implied no","Yes","34","0","10",,,"98","60","60","0","1083"
"428000","Miami Ad School","2020","Implied no","Yes","Yes","Implied no","Yes",,,,,,"5","0","0","0","146"
"428170","Southeastern College-West Palm Beach","2020","Implied no","Implied no","Yes","Yes","Yes",,,,,,"138","72","72","0","1203"
"430582","Praxis Institute","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"37","10","10","0","417"
"431558","Cape Coral Technical College","2020","Implied no","Implied no","Yes","Yes","Yes","45","0","8",,,"41","19","19","0","473"
"433068","Okaloosa Technical College","2020","Implied no","Implied no","Yes","Implied no","Implied no","42","0","0",,,"123","27","27","0","512"
"433660","Florida Gulf Coast University","2020","Implied no","Yes","Yes","Yes","Yes","38","2","7","6041","53","1547","600","600","0","17114"
"434441","Florida College of Integrative Medicine","2020","Implied no","Yes","Yes","Implied no","Yes",,,,,,"25","9","6","1","86"
"434469","New Professions Technical Institute","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"44","8","8","0","101"
"438285","Cortiva Institute","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"19","10","10","0","387"
"439394","East West College of Natural Medicine","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"14","6","6","0","122"
"439446","Atlantic Institute of Oriental Medicine","2020","Yes","Yes","Yes","Implied no","Implied no",,,,,,"16","6","6","0","139"
"439686","International Training Careers","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"12","3","3","0","154"
"439774","New Concept Massage and Beauty School","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"18","4","4","0","51"
"439792","Fortis College-Orange Park","2020","Implied no","Implied no","Implied no","Yes","Yes",,,,,,"33","16","16","0","601"
"439969","Acupuncture and Massage College","2020","Implied no","Implied no","Yes","Implied no","Yes",,,,,,"24","11","11","0","316"
"441371","Ultimate Medical Academy","2020","Implied no","Implied no","Yes","Yes","Yes",,,,,,"2082","311","311","0","21947"
"441380","Florida Barber Academy","2020","Implied no","Implied no","Yes","Implied no","Yes",,,,,,"15","5","5","0","385"
"441414","M-DCPS The English Center","2020","Implied no","Implied no","Yes","Yes","Yes","59","0","10",,,"81","42","42","0","353"
"441423","Florida Education Institute","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"24","8","8","0","436"
"442295","Ave Maria School of Law","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"75","32","32","0","316"
"442329","Tulsa Welding School-Jacksonville","2020","Yes","Implied no","Implied no","Yes","Yes",,,,,,"64","24","24","0","1728"
"443234","Hollywood Institute","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"18","8","8","0","287"
"443252","South Florida Institute of Technology","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"78","34","34","0","1408"
"444334","Advance Science International College","2020","Yes","Implied no","Implied no","Yes","Yes",,,,,,"12","5","5","0","130"
"444370","American Advanced Technicians Institute","2020","Yes","Implied no","Implied no","Implied no","Yes",,,,,,"12","4","4","0","75"
"444404","The Beauty Institute","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"21","3","3","0","35"
"445212","Paul Mitchell the School-Orlando","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"25","15","15","0","372"
"445744","Fortis Institute-Port Saint Lucie","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"39","20","20","0","638"
"446048","Ave Maria University","2020","Implied no","Yes","Yes","Yes","Yes",,,,,,"194","73","73","0","1187"
"446109","Cambridge College of Healthcare & Technology","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"34","24","24","0","565"
"446127","ATA Career Education","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"26","13","13","0","487"
"446552","Southern Technical College","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"163","62","62","0","2547"
"447014","Daytona College","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"38","18","18","0","345"
"447847","Aviator College of Aeronautical Science and Technology","2020","Implied no","Implied no","Yes","Implied no","Yes",,,,,,"105","64","63","1","461"
"447865","Trendsetters School of Beauty & Barbering","2020","Yes","Implied no","Implied no","Implied no","Yes",,,,,,"6","2","2","0","41"
"447883","American Institute of Beauty","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"51","14","14","0","385"
"447892","North Florida Cosmetology Institute","2020","Yes","Implied no","Yes","Implied no","Implied no",,,,,,"13","5","5","0","214"
"447908","Florida Academy of Health & Beauty","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"10","4","4","0","104"
"449038","Strayer University-Florida","2020","Implied no","Implied no","Yes","Yes","Implied no",,,,,,"55","28","28","0","3286"
"449083","CBT Technology Institute-Main Campus","2020","Yes","Implied no","Implied no","Yes","Yes",,,,,,"18","7","7","0","231"
"449092","CBT Technology Institute-Hialeah","2020","Yes","Implied no","Implied no","Yes","Yes",,,,,,"18","10","10","0","216"
"449481","Dragon Rises College of Oriental Medicine","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"4","1","1","0","42"
"449490","Palm Beach Academy of Health & Beauty","2020","Yes","Implied no","Implied no","Implied no","Yes",,,,,,"12","5","5","0","219"
"449506","SABER College","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"16","4","4","0","40"
"449524","Taylor College","2020","Implied no","Implied no","Yes","Yes","Yes",,,,,,"26","12","12","0","293"
"449533","Pensacola School of Massage Therapy & Health Careers","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"8","4","4","0","141"
"449898","South University-Tampa","2020","Implied no","Implied no","Yes","Yes","Yes",,,,,,"96","49","49","0","1487"
"449959","Paul Mitchell the School-Tampa","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"28","15","15","0","319"
"451079","Academy for Five Element Acupuncture","2020","Implied no","Implied no","Yes","Implied no","Implied no",,,,,,"11","1","0","0","109"
"451097","Academy of Career Training","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"11","5","5","0","133"
"451103","Miami Regional University","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"153","82","82","0","2436"
"451121","Paul Mitchell the School-Miami","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"12","7","7","0","184"
"451149","Aveda Institute-South Florida","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"73","38","38","0","844"
"451158","Aveda Institute-Tallahassee","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"73","33","33","0","956"
