"unitid","institution name","year","DRVHR2020.Total FTE staff","DRVHR2020.Instructional, research and public service FTE","DRVHR2020.Instructional FTE","DRVHR2020.Research FTE"
"459347","The Salon Professional Academy-Ft Myers","2020","10","5","5","0"
"460190","Concorde Career Institute-Orlando","2020","33","7","7","0"
"460701","Artistic Nails and Beauty Academy-Lakeland","2020","12","7","7","0"
"460969","Beauty Academy of South Florida","2020","14","5","5","0"
"461245","Flagler Technical College","2020","30","9","9","0"
"461281","Jose Maria Vargas University","2020","11","7","7","0"
"461306","D A Dorsey Technical College","2020","32","16","16","0"
"461883","Millennia Atlantic University","2020","22","8","8","0"
"462035","Florida Academy","2020","23","14","14","0"
"475477","City College-Hollywood","2020","28","16","16","0"
"475547","Paul Mitchell the School-Fort Myers","2020","18","7","7","0"
"475714","American Medical Academy","2020","28","6","6","0"
"476063","Tulsa Welding School-Jacksonville","2020","12","10","10","0"
"476498","Futura Career Institute","2020","9","4","4","0"
"476814","Florida Institute of Recording Sound and Technology","2020","50","26","26","0"
"476939","FVI School of Nursing and Technology","2020","61","26","26","0"
"480569","Florida Institute of Technology-Online","2020","76","55","55","0"
"480842","Shear Finesse Beauty Academy","2020","8","4","4","0"
"480851","Miami Media School","2020","18","9","9","0"
"481252","Ultrasound Medical Institute","2020","14","7","7","0"
"481313","Kaizen Beauty Academy","2020","7","3","3","0"
"481368","Prestige Health & Beauty Sciences Academy","2020","12","7","7","0"
"481483","Boca Beauty Academy","2020","23","6","6","0"
"482459","DeVry University-Florida","2020","55","20","20","0"
"482936","Florida Polytechnic University","2020","246","78","77","1"
"483470","More Tech Institute","2020","22","6","6","0"
"483595","Ana G. Mendez University","2020","83","14","14","0"
"483869","InterAmerican Technical Institute","2020","11","5","5","0"
"483896","Parisian Spa Institute","2020","9","6","6","0"
"484075","First Coast Barber Academy","2020","3","2","2","0"
"484172","Lee Professional Institute","2020","5","1","1","0"
"484473","University of Florida-Online","2020","131","55","54","1"
"485272","West Coast University-Miami","2020","125","65","65","0"
"485342","Aparicio-Levy Technical College","2020","24","14","14","0"
"485379","Hollywood Institute of Beauty Careers-West Palm Beach","2020","28","14","14","0"
"485388","Hollywood Institute of Beauty Careers-Casselberry","2020","32","17","17","0"
"485485","Latin Beauty Academy","2020","19","12","12","0"
"485768","Atlantis University","2020","45","9","9","0"
"486150","Treasure Coast Technical College","2020","19","6","6","0"
"486239","San Ignacio University","2020","51","22","22","0"
"486354","United International College","2020","15","9","9","0"
"486512","Florida International Training Institute","2020","18","5","5","0"
"487311","Jones Technical Institute","2020","51","24","24","0"
"487384","Florida Career College-Pembroke Pines","2020","30","7","7","0"
"487393","Florida Career College-West Palm Beach","2020","50","18","18","0"
"487409","Florida Career College-Hialeah","2020","33","12","12","0"
"487418","Florida Career College-Lauderdale Lakes","2020","49","15","15","0"
"487436","Florida Career College-Jacksonville","2020","38","12","12","0"
"487445","Florida Career College-Boynton Beach","2020","35","11","11","0"
"487454","Florida Career College-Margate","2020","30","6","6","0"
"487472","Florida Career College-Orlando","2020","65","25","25","0"
"488059","Med College","2020","4","3","3","0"
"488147","PiBerry Institute","2020","11","4","4","0"
"488226","Center for Neurosomatic Studies","2020","3","2","2","0"
"488280","National Personal Training Institute","2020","3","2","2","0"
"488332","Hope College of Arts and Sciences","2020","14","6","6","0"
"488891","South Dade Technical College-South Dade Skills Center Campus","2020","63","27","27","0"
"489238","Boca Beauty Academy-Parkland","2020","17","8","8","0"
"490018","National Personal Training Institute-Tampa","2020","2","1","1","0"
"490054","HCI College","2020","117","68","68","0"
"490090","Gadsden Technical College","2020","21","10","10","0"
"490142","World Class Academy of Beauty Careers","2020","2","1","1","0"
"490391","American Beauty Schools","2020","2","1","1","0"
"490975","Fortis College-Cutler Bay","2020","25","11","11","0"
"491136","Empire Beauty School-Tampa","2020","7","4","4","0"
"491145","Empire Beauty School-Lakeland","2020","8","5","5","0"
"491534","Pets Playground Grooming School","2020","4","2","2","0"
"491747","UR Beauty & Barber Academy","2020","17","3","3","0"
"491783","Wilton Simpson Technical College","2020","6","3","3","0"
"491932","Installer Institute","2020","4","2","2","0"
"492360","The Salon Professional Academy-Delray Beach","2020","9","5","5","0"
"492652","KCK Beauty & Barber Academy","2020","10","6","6","0"
"492935","Global Medical & Technical Training Institute","2020","11","8","8","0"
"493488","Premiere International College","2020","5","2","2","0"
"493567","Bellasa Professional Institute","2020","2","1","1","0"
"494597","Faith Theological Seminary and Christian College","2020",,,,
"495183","Mariano Moreno Culinary Institute","2020","15","6","6","0"
"495217","Adrian H. Wallace Barber Academy","2020","4","3","3","0"
"495235","Total Beauty Institute","2020","5","2","2","0"
"495299","Florida Professional Institute","2020","6","2","2","0"
"495369","Paul Mitchell the School-Fort Lauderdale","2020","15","6","6","0"
"495420","Arizona College of Nursing-Tampa","2020","13","3","3","0"
"495439","Arizona College of Nursing-Fort Lauderdale","2020","13","3","3","0"
"496052","Ruben's Five Star Academy","2020","6","2","2","0"
"496636","Antigua College International","2020",,,,
"496681","Florida Academy of Nursing","2020",,,,
"496973","Herzing University-Tampa","2020",,,,
"496991","Galen Health Institutes-Miami Campus","2020",,,,
"497222","Salon Professional Academy-Elevate Salon Institute","2020",,,,
