code,unit_id,distance,school_type,credential_level,school_name,locale,carnegie_size_setting,admission_rate_overall,median_family_income,students_with_pell_grant,open_admissions_policy,age_entry,title_iv_eligibility_type,selectivity_bucket,actual,pred,title,4_yr_working_count,error,school_count,confidence,pct_error,score
4301,132709,2,Public,2,Broward College,12,15,,20743.0,0.9264472291,1.0,24.0,1,,44828.99999999997,45704.36,Criminal Justice and Corrections.,30,-875.3593750000291,10,medium,-0.0191526451080472,-0.0183712541765701
4901,132709,2,Public,2,Broward College,12,15,,20743.0,0.9264472291,1.0,24.0,1,,75637.00000000001,64681.19,Air Transportation.,24,10955.808593750016,5,low,0.1693816758095674,0.1604986719867513
5109,132709,1,Public,1,Broward College,12,15,,20743.0,0.9264472291,1.0,24.0,1,,79695.00000000001,53810.39,"Allied Health Diagnostic, Intervention, and Treatment Professions.",35,25884.60937500001,22,high,0.4810336642115765,0.4645687504364437
5109,132709,1,Public,2,Broward College,12,15,,20743.0,0.9264472291,1.0,24.0,1,,75878.99999999997,66003.6,"Allied Health Diagnostic, Intervention, and Treatment Professions.",66,9875.39843749997,39,high,0.1496190844699403,0.1471607902473556
5138,132709,1,Public,2,Broward College,12,15,,20743.0,0.9264472291,1.0,24.0,1,,83358.00000000004,83814.15,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",103,-456.14843749995634,58,high,-0.0054423799084483,-0.0053892216971345
5202,132709,2,Public,2,Broward College,12,15,,20743.0,0.9264472291,1.0,24.0,1,,49180.00000000004,48266.844,"Business Administration, Management and Operations.",59,913.1562500000364,26,high,0.0189189136693868,0.0185646959755887
5202,132709,2,Public,3,Broward College,12,15,,20743.0,0.9264472291,1.0,24.0,1,,61029.000000000015,53109.633,"Business Administration, Management and Operations.",129,7919.367187500015,58,high,0.1491135744707332,0.1479942250352446
4228,132842,2,"Private, nonprofit",5,Albizu University-Miami,13,6,0.7571,16091.0,0.4821052632,2.0,26.0,1,open,51234.99999999997,66970.92,"Clinical, Counseling and Applied Psychology.",49,-15735.92187500003,9,medium,-0.2349664814883516,-0.229508158264732
4228,132842,1,"Private, nonprofit",6,Albizu University-Miami,13,6,0.7571,16091.0,0.4821052632,2.0,26.0,1,open,93577.99999999993,71013.6,"Clinical, Counseling and Applied Psychology.",113,22564.398437499927,3,low,0.3177475573836472,0.3149627718868996
1105,132851,0,Public,99,College of Central Florida,13,12,,21993.0,0.8733662504,1.0,24.0,1,,46212.99999999997,44098.98,Computer Systems Analysis.,20,2114.019531249971,1,low,0.0479380590838837,0.0448618863684126
2401,132851,3,Public,2,College of Central Florida,13,12,,21993.0,0.8733662504,1.0,24.0,1,,42065.99999999996,40149.285,"Liberal Arts and Sciences, General Studies and Humanities.",690,1916.714843749964,36,high,0.0477397003779926,0.047688420694316
4301,132851,0,Public,99,College of Central Florida,13,12,,21993.0,0.8733662504,1.0,24.0,1,,52149.99999999999,40145.688,Criminal Justice and Corrections.,57,12004.312499999984,4,low,0.2990187302185318,0.2931910206443292
5107,132851,0,Public,99,College of Central Florida,13,12,,21993.0,0.8733662504,1.0,24.0,1,,46953.000000000015,38650.684,Health and Medical Administrative Services.,44,8302.316406250015,1,low,0.2148038697973388,0.2091522827447157
5109,132851,1,Public,2,College of Central Florida,13,12,,21993.0,0.8733662504,1.0,24.0,1,,63118.99999999995,58444.562,"Allied Health Diagnostic, Intervention, and Treatment Professions.",25,4674.437499999949,39,high,0.0799807082138727,0.0759733017950783
5109,132851,0,Public,99,College of Central Florida,13,12,,21993.0,0.8733662504,1.0,24.0,1,,50312.0,54784.277,"Allied Health Diagnostic, Intervention, and Treatment Professions.",44,-4472.27734375,4,low,-0.0816343221192496,-0.0794864861497483
5138,132851,1,Public,2,College of Central Florida,13,12,,21993.0,0.8733662504,1.0,24.0,1,,75665.0,78899.97,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",95,-3234.96875,58,high,-0.0410008875954085,-0.0405606911205699
5138,132851,1,Public,3,College of Central Florida,13,12,,21993.0,0.8733662504,1.0,24.0,1,,93193.00000000007,89248.8,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",48,3944.2031250000728,57,high,0.0441933478445008,0.0431419101853188
5202,132851,1,Public,2,College of Central Florida,13,12,,21993.0,0.8733662504,1.0,24.0,1,,32335.0,41489.47,"Business Administration, Management and Operations.",41,-9154.468750000004,26,high,-0.2206456005778575,-0.2143477013999837
5202,132851,1,Public,3,College of Central Florida,13,12,,21993.0,0.8733662504,1.0,24.0,1,,51258.00000000004,47340.86,"Business Administration, Management and Operations.",181,3917.140625000037,58,high,0.0827433358142336,0.0823251563078191
5202,132851,0,Public,99,College of Central Florida,13,12,,21993.0,0.8733662504,1.0,24.0,1,,40768.000000000015,40595.598,"Business Administration, Management and Operations.",131,172.40234375001455,1,low,0.0042468236386088,0.0042155123950958
5207,132851,0,Public,99,College of Central Florida,13,12,,21993.0,0.8733662504,1.0,24.0,1,,30038.999999999975,42295.996,Entrepreneurial and Small Business Operations.,33,-12256.996093750022,1,low,-0.2897909311931588,-0.2791824553527983
5212,132851,0,Public,99,College of Central Florida,13,12,,21993.0,0.8733662504,1.0,24.0,1,,33676.000000000015,43522.37,Management Information Systems and Services.,22,-9846.371093749984,1,low,-0.2262370097562071,-0.2131673175293531
402,132903,1,Public,3,University of Central Florida,21,15,0.4011,31400.0,0.7045342864,2.0,23.0,1,mid,64825.99999999999,63204.97,Architecture.,24,1621.0312499999854,4,low,0.0256472122692092,0.0243021772555746
901,132903,2,Public,3,University of Central Florida,21,15,0.4011,31400.0,0.7045342864,2.0,23.0,1,mid,58782.99999999997,58101.17,Communication and Media Studies.,178,681.8281249999709,15,medium,0.0117351871398888,0.0116747103672932
904,132903,1,Public,3,University of Central Florida,21,15,0.4011,31400.0,0.7045342864,2.0,23.0,1,mid,60886.99999999999,57006.96,Journalism.,32,3880.0390624999854,6,medium,0.0680625488307277,0.065482059145009
907,132903,1,Public,3,University of Central Florida,21,15,0.4011,31400.0,0.7045342864,2.0,23.0,1,mid,48753.00000000001,57360.016,"Radio, Television, and Digital Communication.",54,-8607.015624999993,7,medium,-0.1500525327829353,-0.1469384028999348
909,132903,1,Public,3,University of Central Florida,21,15,0.4011,31400.0,0.7045342864,2.0,23.0,1,mid,62139.99999999996,58438.207,"Public Relations, Advertising, and Applied Communication.",72,3701.792968749956,11,medium,0.063345423427697,0.062405111542158
1101,132903,1,Public,3,University of Central Florida,21,15,0.4011,31400.0,0.7045342864,2.0,23.0,1,mid,98525.99999999993,104771.68,"Computer and Information Sciences, General.",302,-6245.679687500073,19,high,-0.0596122893717931,-0.0594462224036637
1101,132903,1,Public,5,University of Central Florida,21,15,0.4011,31400.0,0.7045342864,2.0,23.0,1,mid,123587.00000000007,92859.23,"Computer and Information Sciences, General.",36,30727.773437500087,5,low,0.3309070576505222,0.3199400853529736
1301,132903,1,Public,6,University of Central Florida,21,15,0.4011,31400.0,0.7045342864,2.0,23.0,1,mid,81029.99999999999,105222.28,"Education, General.",24,-24192.28125000001,2,low,-0.2299159547065989,-0.217858308595686
1304,132903,1,Public,5,University of Central Florida,21,15,0.4011,31400.0,0.7045342864,2.0,23.0,1,mid,63413.000000000015,71745.44,Educational Administration and Supervision.,79,-8332.437499999985,20,high,-0.1161389182413165,-0.1145919809824558
1305,132903,3,Public,5,University of Central Florida,21,15,0.4011,31400.0,0.7045342864,2.0,23.0,1,mid,78410.0,76852.29,Educational/Instructional Media Design.,23,1557.7109375,4,low,0.0202688944792938,0.0191543155848603
1310,132903,2,Public,5,University of Central Florida,21,15,0.4011,31400.0,0.7045342864,2.0,23.0,1,mid,60920.00000000004,66229.45,Special Education and Teaching.,30,-5309.453124999964,8,medium,-0.0801675519648187,-0.0768968706698518
1311,132903,1,Public,5,University of Central Florida,21,15,0.4011,31400.0,0.7045342864,2.0,23.0,1,mid,57137.00000000004,60654.723,Student Counseling and Personnel Services.,34,-3517.722656249964,9,medium,-0.0579958575721471,-0.055943894053285
1312,132903,1,Public,3,University of Central Florida,21,15,0.4011,31400.0,0.7045342864,2.0,23.0,1,mid,51784.0,54975.785,"Teacher Education and Professional Development, Specific Levels and Methods.",288,-3191.78515625,24,high,-0.0580580185836079,-0.0578871235500467
1312,132903,2,Public,5,University of Central Florida,21,15,0.4011,31400.0,0.7045342864,2.0,23.0,1,mid,56186.00000000001,62320.266,"Teacher Education and Professional Development, Specific Levels and Methods.",25,-6134.265624999993,7,medium,-0.0984313138508063,-0.0934994460573717
1313,132903,1,Public,3,University of Central Florida,21,15,0.4011,31400.0,0.7045342864,2.0,23.0,1,mid,53197.00000000004,48850.285,"Teacher Education and Professional Development, Specific Subject Areas.",290,4346.714843750036,11,medium,0.0889803371637823,0.0887205169345158
1313,132903,3,Public,5,University of Central Florida,21,15,0.4011,31400.0,0.7045342864,2.0,23.0,1,mid,53076.99999999999,62541.39,"Teacher Education and Professional Development, Specific Subject Areas.",44,-9464.390625000007,8,medium,-0.1513300316865157,-0.1473484700481734
1402,132903,1,Public,3,University of Central Florida,21,15,0.4011,31400.0,0.7045342864,2.0,23.0,1,mid,96971.99999999996,76139.48,"Aerospace, Aeronautical, and Astronautical/Space Engineering.",64,20832.52343749997,5,low,0.273610016485986,0.268950308960448
1408,132903,1,Public,3,University of Central Florida,21,15,0.4011,31400.0,0.7045342864,2.0,23.0,1,mid,86803.0,82092.61,Civil Engineering.,59,4710.390625,8,medium,0.0573789852809146,0.0563046819570629
