code,title,unit_id,distance,school.type,credential.level,earnings.4_yr.overall_median_earnings,earnings.4_yr.working_not_enrolled.overall_count,id,school.name,latest.school.locale,latest.school.carnegie_size_setting,latest.admissions.admission_rate.overall,latest.student.demographics.median_family_income,latest.student.students_with_pell_grant,latest.school.open_admissions_policy,latest.student.demographics.age_entry,latest.school.title_iv.eligibility_type
1310,Special Education and Teaching.,132903,0,Public,4,62470,16,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
1310,Special Education and Teaching.,132903,2,Public,5,60920,30,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
1311,Student Counseling and Personnel Services.,132903,1,Public,5,57137,34,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
1312,"Teacher Education and Professional Development, Specific Levels and Methods.",132903,1,Public,3,51784,288,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
1312,"Teacher Education and Professional Development, Specific Levels and Methods.",132903,2,Public,5,56186,25,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
1313,"Teacher Education and Professional Development, Specific Subject Areas.",132903,1,Public,3,53197,290,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
1313,"Teacher Education and Professional Development, Specific Subject Areas.",132903,3,Public,5,53077,44,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
1402,"Aerospace, Aeronautical, and Astronautical/Space Engineering.",132903,1,Public,3,96972,64,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
1408,Civil Engineering.,132903,1,Public,3,86803,59,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
1409,Computer Engineering.,132903,1,Public,3,106680,65,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
1410,"Electrical, Electronics, and Communications Engineering.",132903,1,Public,3,99442,86,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
1419,Mechanical Engineering.,132903,1,Public,3,89663,209,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
1419,Mechanical Engineering.,132903,3,Public,5,104337,27,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
1435,Industrial Engineering.,132903,1,Public,3,91630,40,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
1435,Industrial Engineering.,132903,3,Public,5,118191,20,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
2200,Non-Professional Legal Studies.,132903,3,Public,3,59715,107,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
2203,Legal Support Services.,132903,0,Public,3,61853,24,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
2301,"English Language and Literature, General.",132903,3,Public,3,46532,169,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
2401,"Liberal Arts and Sciences, General Studies and Humanities.",132903,1,Public,3,52862,231,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
2601,"Biology, General.",132903,1,Public,3,51313,174,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
2701,Mathematics.,132903,1,Public,3,69005,21,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
2705,Statistics.,132903,1,Public,3,76372,18,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
3000,"Multi-/Interdisciplinary Studies, General.",132903,3,Public,3,51959,344,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
3020,International/Globalization Studies.,132903,3,Public,3,69568,16,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
3105,"Sports, Kinesiology, and Physical Education/Fitness.",132903,1,Public,5,76984,17,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
4005,Chemistry.,132903,1,Public,3,57313,17,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
4201,"Psychology, General.",132903,3,Public,3,49760,597,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
4228,"Clinical, Counseling and Applied Psychology.",132903,1,Public,5,70723,17,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
