code,title,unit_id,distance,school_type,credential_level,school_city,location_lat,location_lon,locale,carnegie_size_setting,median_family_income,students_with_pell_grant,age_entry,title_iv_eligibility_type,actual,pred,school_name,4_yr_working_count,error,school_count,confidence,pct_error,score
1101,"Computer and Information Sciences, General.",132903,1,Public,3,Orlando,28.602159,-81.200889,21,15,31400.0,0.7045342864,23.0,1,98525.99999999993,103044.414,University of Central Florida,302,-4518.414062500073,19,high,-0.04384918972666969,-0.043727035350959974
1101,"Computer and Information Sciences, General.",132903,1,Public,5,Orlando,28.602159,-81.200889,21,15,31400.0,0.7045342864,23.0,1,123587.00000000009,90698.28,University of Central Florida,36,32888.71875000009,5,low,0.36261678056881685,0.3505988797861612
1301,"Education, General.",132903,1,Public,6,Orlando,28.602159,-81.200889,21,15,31400.0,0.7045342864,23.0,1,81029.99999999999,101705.11,University of Central Florida,24,-20675.109375000015,2,low,-0.20328486446800023,-0.1926238515835835
1304,Educational Administration and Supervision.,132903,1,Public,5,Orlando,28.602159,-81.200889,21,15,31400.0,0.7045342864,23.0,1,63413.000000000015,70159.29,University of Central Florida,79,-6746.289062499985,20,high,-0.0961567477756251,-0.09487596732685329
1305,Educational/Instructional Media Design.,132903,3,Public,5,Orlando,28.602159,-81.200889,21,15,31400.0,0.7045342864,23.0,1,78410.0,76381.73,University of Central Florida,23,2028.2734375,4,low,0.02655443296166326,0.025094214666928263
1310,Special Education and Teaching.,132903,2,Public,5,Orlando,28.602159,-81.200889,21,15,31400.0,0.7045342864,23.0,1,60920.00000000004,62839.668,University of Central Florida,30,-1919.6679687499636,8,medium,-0.03054866505190017,-0.029302338515506676
1311,Student Counseling and Personnel Services.,132903,1,Public,5,Orlando,28.602159,-81.200889,21,15,31400.0,0.7045342864,23.0,1,57137.00000000004,60337.47,University of Central Florida,34,-3200.4687499999636,9,medium,-0.053042807666670036,-0.051166089038367536
1312,"Teacher Education and Professional Development, Specific Levels and Methods.",132903,1,Public,3,Orlando,28.602159,-81.200889,21,15,31400.0,0.7045342864,23.0,1,51784.0,53843.14,University of Central Florida,288,-2059.140625,24,high,-0.03824332312524721,-0.03813075307638191
1312,"Teacher Education and Professional Development, Specific Levels and Methods.",132903,2,Public,5,Orlando,28.602159,-81.200889,21,15,31400.0,0.7045342864,23.0,1,56186.00000000001,66062.11,University of Central Florida,25,-9876.109374999993,7,medium,-0.14949733619522337,-0.14200682256962024
1313,"Teacher Education and Professional Development, Specific Subject Areas.",132903,1,Public,3,Orlando,28.602159,-81.200889,21,15,31400.0,0.7045342864,23.0,1,53197.00000000004,48359.965,University of Central Florida,290,4837.035156250036,11,medium,0.10002147792866253,0.09972941786061444
1313,"Teacher Education and Professional Development, Specific Subject Areas.",132903,3,Public,5,Orlando,28.602159,-81.200889,21,15,31400.0,0.7045342864,23.0,1,53076.99999999999,65709.984,University of Central Florida,44,-12632.984375000007,8,medium,-0.19225365057013083,-0.18719536999349692
